9837.425 	9837.410 
361.010 	360.990 
361.012 	360.990 
723.218 	723.179 
723.249 	723.179 
723.895 	723.825 
900.693 	900.657 
1034.167 	1034.125 
1034.171 	1034.126 
1086.631 	1086.552 
1086.632 	1086.552 
1087.855 	1087.774 
1087.856 	1087.774 
1259.874 	1259.807 
1259.896 	1259.807 
1389.081 	1388.969 
1394.814 	1394.681 
1394.832 	1394.681 
1395.030 	1394.900 
1397.801 	1397.681 
1451.256 	1451.093 
1451.270 	1451.093 
1453.010 	1452.818 
1453.018 	1452.818 
1453.595 	1453.394 
1483.278 	1483.220 
1483.278 	1483.220 
1620.343 	1620.196 
1620.412 	1620.196 
1620.961 	1620.740 
1749.680 	1749.520 
1749.682 	1749.520 
1756.615 	1756.414 
1756.621 	1756.414 
1757.303 	1757.121 
1757.308 	1757.121 
1759.939 	1759.762 
1759.942 	1759.762 
1785.255 	1785.098 
1817.017 	1816.786 
1817.017 	1816.786 
1819.191 	1818.938 
1819.191 	1818.939 
1820.271 	1820.016 
1820.273 	1820.016 
1844.392 	1844.245 
1844.465 	1844.317 
1844.483 	1844.318 
1844.842 	1844.677 
1931.678 	1931.513 
1931.684 	1931.513 
1982.045 	1981.811 
1982.047 	1981.812 
1983.054 	1982.812 
1983.067 	1982.812 
2057.286 	2057.051 
2065.439 	2065.269 
2065.469 	2065.269 
2111.619 	2111.365 
2111.682 	2111.365 
2112.614 	2112.282 
2119.629 	2119.309 
2119.674 	2119.309 
2120.808 	2120.523 
2120.901 	2120.523 
2121.198 	2120.891 
2123.117 	2122.818 
2123.177 	2122.818 
2123.672 	2123.283 
2142.561 	2142.348 
